Year,Month,Day,Hour,Minute,Speed,Direction
2019,4,2,0,0,3.1,20.77
2019,4,2,1,0,2.82,6.12
2019,4,2,2,0,2.21,354.81
2019,4,2,3,0,1.3,327.53
2019,4,2,4,0,1.25,298.61
2019,4,2,5,0,1.33,282.99
2019,4,2,6,0,2.16,283.39
2019,4,2,7,0,3.61,303.69
2019,4,2,8,0,4.4,309.47
2019,4,2,9,0,4.33,303.69
2019,4,2,10,0,4.1,304.08
2019,4,2,11,0,3.01,291.45
2019,4,2,12,0,2.11,238.57
2019,4,2,13,0,3.41,229.76
2019,4,2,14,0,5.41,273.18
2019,4,2,15,0,7.03,299.85
2019,4,2,16,0,7.31,310.01
2019,4,2,17,0,7.07,315
2019,4,2,18,0,6.37,317.54
2019,4,2,19,0,5.86,323.33
2019,4,2,20,0,5.15,330.95
2019,4,2,21,0,5.39,338.2
2019,4,2,22,0,5.05,332.93
2019,4,2,23,0,3.91,327.53
2019,4,3,0,0,2.75,326.89
2019,4,3,1,0,1.98,319.09
2019,4,3,2,0,1.64,307.57
2019,4,3,3,0,1.49,289.65
2019,4,3,4,0,1.4,274.09
2019,4,3,5,0,1.61,262.87
2019,4,3,6,0,2.18,254.05
2019,4,3,7,0,3.01,264.29
2019,4,3,8,0,4.78,289.57
2019,4,3,9,0,5.72,306.47
2019,4,3,10,0,6.1,311.01
2019,4,3,11,0,6.51,315
2019,4,3,12,0,6.38,318.81
2019,4,3,13,0,6.31,319.5
2019,4,3,14,0,6.31,319.5
2019,4,3,15,0,6.33,320.77
2019,4,3,16,0,6.24,328.09
2019,4,3,17,0,5.9,333.87
2019,4,3,18,0,4.88,344.54
2019,4,3,19,0,3.24,351.12
2019,4,3,20,0,2.1,360
2019,4,3,21,0,2.7,360
2019,4,3,22,0,2.7,357.88
2019,4,3,23,0,2.33,350.13
2019,4,4,0,0,1.84,347.47
2019,4,4,1,0,1.77,343.61
2019,4,4,2,0,1.7,331.93
2019,4,4,3,0,1.63,317.49
2019,4,4,4,0,0.92,310.6
2019,4,4,5,0,0.45,296.57
2019,4,4,6,0,0.6,270
2019,4,4,7,0,0.72,236.31
2019,4,4,8,0,1.75,193.24
2019,4,4,9,0,3.1,194.93
2019,4,4,10,0,3.47,191.63
2019,4,4,11,0,3.8,181.51
2019,4,4,12,0,4.83,174.05
2019,4,4,13,0,5.36,171.42
2019,4,4,14,0,5,180
2019,4,4,15,0,5.51,184.16
2019,4,4,16,0,5.61,183.07
2019,4,4,17,0,4.57,190.08
2019,4,4,18,0,2.72,216.03
2019,4,4,19,0,3.41,238.17
2019,4,4,20,0,4.44,234.16
2019,4,4,21,0,1.7,225
2019,4,4,22,0,2.51,241.39
2019,4,4,23,0,2.69,238.67
2019,4,5,0,0,2.56,231.34
2019,4,5,1,0,2.02,212.91
2019,4,5,2,0,1.55,194.93
2019,4,5,3,0,1.22,189.46
2019,4,5,4,0,1.14,195.26
2019,4,5,5,0,1.3,202.62
2019,4,5,6,0,1.17,210.96
2019,4,5,7,0,0.81,209.74
2019,4,5,8,0,1.58,198.43
2019,4,5,9,0,2.7,182.12
2019,4,5,10,0,4.43,186.48
2019,4,5,11,0,6.99,199.21
2019,4,5,12,0,9.19,202.38
2019,4,5,13,0,10.47,204.85
2019,4,5,14,0,11.23,205.88
2019,4,5,15,0,11.45,205.89
2019,4,5,16,0,11.09,205.64
2019,4,5,17,0,10.38,205.08
2019,4,5,18,0,9.19,202.38
2019,4,5,19,0,8.33,204.1
2019,4,5,20,0,6.72,202.75
2019,4,5,21,0,3.4,208.07
2019,4,5,22,0,2.61,212.47
2019,4,5,23,0,2.34,219.81
2019,4,6,0,0,2.36,233.62
2019,4,6,1,0,2.44,250.82
2019,4,6,2,0,2.1,272.73
2019,4,6,3,0,1.8,326.31
2019,4,6,4,0,2.5,360
2019,4,6,5,0,2.7,360
2019,4,6,6,0,3.44,351.63
2019,4,6,7,0,3.74,344.48
2019,4,6,8,0,4.05,344.25
2019,4,6,9,0,4.34,345.32
2019,4,6,10,0,4.15,344.62
2019,4,6,11,0,3.74,344.48
2019,4,6,12,0,2.6,344.36
2019,4,6,13,0,0.82,345.96
2019,4,6,14,0,0.7,180
2019,4,6,15,0,1.6,176.42
2019,4,6,16,0,2.14,169.22
2019,4,6,17,0,2.65,169.11
2019,4,6,18,0,2.5,177.71
2019,4,6,19,0,1.55,194.93
2019,4,6,20,0,1,270
2019,4,6,21,0,2.9,313.6
2019,4,6,22,0,3.26,319.97
2019,4,6,23,0,3.26,319.97
2019,4,7,0,0,2.83,327.99
2019,4,7,1,0,2.64,330.52
2019,4,7,2,0,3.11,326.82
2019,4,7,3,0,3.08,324.25
